,Epochs,Params,Train loss,Test loss
0,0,"OrderedDict([('layers.0.weight', tensor([[-0.1809]])), ('layers.0.bias', tensor([-0.6491])), ('layers.2.weight', tensor([[0.4042]])), ('layers.2.bias', tensor([-0.0250]))])",1.2196103385649621,0.7351177740298832
1,1,"OrderedDict([('layers.0.weight', tensor([[-0.1674]])), ('layers.0.bias', tensor([-0.6625])), ('layers.2.weight', tensor([[0.3910]])), ('layers.2.bias', tensor([-0.1277]))])",1.1789493336652717,0.711564012504338
2,2,"OrderedDict([('layers.0.weight', tensor([[-0.1641]])), ('layers.0.bias', tensor([-0.6657])), ('layers.2.weight', tensor([[0.3878]])), ('layers.2.bias', tensor([-0.2280]))])",1.1422191048661867,0.6899877567576671
3,3,"OrderedDict([('layers.0.weight', tensor([[-0.1633]])), ('layers.0.bias', tensor([-0.6665])), ('layers.2.weight', tensor([[0.3870]])), ('layers.2.bias', tensor([-0.3251]))])",1.108056848247846,0.6704740198794752
4,4,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6667])), ('layers.2.weight', tensor([[0.3869]])), ('layers.2.bias', tensor([-0.4189]))])",1.0765714555978776,0.6529768538195639
5,5,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-0.5092]))])",1.047737334916989,0.6373877890097598
6,6,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-0.5960]))])",1.0214545826117198,0.6235653097430865
7,7,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-0.6793]))])",0.9975775204598903,0.6113518577069044
8,8,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-0.7592]))])",0.9759345422188441,0.6005852910379569
9,9,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-0.8359]))])",0.956341861685117,0.5911070755372445
