,Epochs,Params,Train loss,Test loss
0,0,"OrderedDict([('layers.0.weight', tensor([[-1.2433],
        [-0.8154],
        [ 0.3098],
        [ 0.5266],
        [-0.9812],
        [-0.9687],
        [-0.7089],
        [-1.2967],
        [ 1.2936],
        [-0.9086],
        [-0.9404],
        [-0.5964],
        [-1.1579],
        [-1.6673],
        [-1.1292],
        [-0.7228],
        [ 0.7816],
        [ 0.7447],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.3586,  1.2675, -0.5516, -1.0902,  0.2380,  0.2224,  0.3038,  0.3829,
         0.4132,  0.2532,  1.1615, -0.9440,  0.4783,  0.6349,  0.3897,  1.0979,
         0.3845,  0.3483, -0.5434])), ('layers.2.weight', tensor([[-0.2311, -0.5563,  0.0496,  0.0795, -0.4200, -0.4018, -0.1871, -1.4908,
          0.3983, -0.3661, -0.4565,  0.0551, -0.7009, -0.5166, -0.3052, -0.5790,
          0.5851,  0.5564, -0.1102]])), ('layers.2.bias', tensor([-0.1649]))])",0.3473829071305036,0.3314539734606539
1,1,"OrderedDict([('layers.0.weight', tensor([[-1.4505],
        [-0.7344],
        [ 0.3492],
        [ 0.6258],
        [-1.1402],
        [-1.1652],
        [-0.7454],
        [-1.7094],
        [ 1.3034],
        [-1.2436],
        [-1.1636],
        [-0.5964],
        [-1.3557],
        [-1.8464],
        [-1.3457],
        [-0.6525],
        [ 0.8014],
        [ 0.7694],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.3232,  1.3502, -0.5283, -1.0125,  0.2375,  0.2320,  0.4255,  0.3527,
         0.4198,  0.2653,  0.9896, -0.9440,  0.5725,  0.6350,  0.3367,  1.1741,
         0.3610,  0.3141, -0.5434])), ('layers.2.weight', tensor([[-0.2962, -0.5683,  0.0960,  0.1706, -0.5603, -0.5773, -0.2216, -1.9098,
          0.4057, -0.5010, -0.4749,  0.0551, -0.8334, -0.5798, -0.3647, -0.5907,
          0.5903,  0.5584, -0.1102]])), ('layers.2.bias', tensor([-0.1812]))])",0.34103065959493145,0.3312810110615206
2,2,"OrderedDict([('layers.0.weight', tensor([[-1.6323],
        [-0.7646],
        [ 0.3332],
        [ 0.5960],
        [-1.2842],
        [-1.3564],
        [-0.7837],
        [-2.0535],
        [ 1.3476],
        [-1.5444],
        [-1.2484],
        [-0.5964],
        [-1.4840],
        [-2.0284],
        [-1.5261],
        [-0.6949],
        [ 0.8469],
        [ 0.8214],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.2663,  1.3885, -0.5609, -1.0919,  0.2057,  0.1894,  0.5108,  0.3503,
         0.3446,  0.2842,  1.0144, -0.9440,  0.6521,  0.4774,  0.2603,  1.2035,
         0.3094,  0.2325, -0.5434])), ('layers.2.weight', tensor([[-0.3479, -0.5958,  0.1170,  0.2349, -0.6704, -0.7207, -0.2491, -2.2715,
          0.4283, -0.6238, -0.5155,  0.0551, -0.9261, -0.6253, -0.4124, -0.6190,
          0.6039,  0.5637, -0.1102]])), ('layers.2.bias', tensor([-0.2026]))])",0.3409386760006012,0.33140772031706295
3,3,"OrderedDict([('layers.0.weight', tensor([[-1.8090],
        [-0.8041],
        [ 0.3661],
        [ 0.7040],
        [-1.4298],
        [-1.5486],
        [-0.8342],
        [-2.4089],
        [ 1.3174],
        [-1.8730],
        [-1.3222],
        [-0.5964],
        [-1.6592],
        [-2.1901],
        [-1.6903],
        [-0.7837],
        [ 0.8678],
        [ 0.8126],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.2297,  1.3684, -0.5809, -1.1327,  0.1730,  0.1968,  0.5543,  0.3125,
         0.2388,  0.2436,  1.0407, -0.9440,  0.6716,  0.4237,  0.2274,  1.1576,
         0.2398,  0.1446, -0.5434])), ('layers.2.weight', tensor([[-0.3948, -0.5870,  0.1783,  0.4009, -0.7685, -0.8521, -0.2598, -2.6190,
          0.4266, -0.7429, -0.5542,  0.0551, -1.0054, -0.6699, -0.4562, -0.6050,
          0.5846,  0.5161, -0.1102]])), ('layers.2.bias', tensor([-0.2119]))])",0.34094391927845974,0.3316066387086608
4,4,"OrderedDict([('layers.0.weight', tensor([[-1.9951],
        [-0.8915],
        [ 0.6606],
        [ 1.0399],
        [-1.5945],
        [-1.8039],
        [-0.9219],
        [-2.7719],
        [ 1.2663],
        [-2.2302],
        [-1.3184],
        [-0.5964],
        [-1.7988],
        [-2.3928],
        [-1.8591],
        [-0.9765],
        [ 0.8623],
        [ 0.7840],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.2281,  1.2818, -0.4721, -1.0391,  0.1099,  0.1433,  0.5158,  0.3286,
         0.1185,  0.2450,  1.0679, -0.9440,  0.6988,  0.3462,  0.2254,  1.0160,
         0.1498,  0.0480, -0.5434])), ('layers.2.weight', tensor([[-0.4387, -0.5109,  0.2074,  0.4204, -0.8629, -0.9737, -0.2382, -2.9656,
          0.4132, -0.8658, -0.5212,  0.0551, -1.0677, -0.6995, -0.4969, -0.5192,
          0.5351,  0.4451, -0.1102]])), ('layers.2.bias', tensor([-0.2051]))])",0.3409564140119681,0.33133813537221896
5,5,"OrderedDict([('layers.0.weight', tensor([[-2.1434],
        [-0.9929],
        [ 0.4990],
        [ 1.0571],
        [-1.8046],
        [-2.1270],
        [-1.0144],
        [-3.0903],
        [ 1.3095],
        [-2.6735],
        [-1.5109],
        [-0.5964],
        [-2.0387],
        [-2.6028],
        [-2.1306],
        [-1.0225],
        [ 0.9224],
        [ 0.8279],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.3733,  1.2311, -0.7551, -1.1863,  0.2285,  0.1310,  0.5240,  0.3851,
         0.0585,  0.1240,  0.9603, -0.9440,  0.5890,  0.2532,  0.1343,  0.9993,
         0.0924,  0.0044, -0.5434])), ('layers.2.weight', tensor([[-0.4711, -0.5026,  0.1621,  0.4311, -0.9229, -1.0960, -0.2424, -3.1895,
          0.4616, -1.0138, -0.5425,  0.0551, -1.0993, -0.7429, -0.5300, -0.5097,
          0.5582,  0.4620, -0.1102]])), ('layers.2.bias', tensor([-0.2145]))])",0.34091171296378087,0.3312242825768781
6,6,"OrderedDict([('layers.0.weight', tensor([[-2.5322],
        [-1.0500],
        [ 0.4445],
        [ 1.1206],
        [-2.0396],
        [-2.3724],
        [-1.0792],
        [-3.4025],
        [ 1.3239],
        [-3.1400],
        [-1.6518],
        [-0.5964],
        [-1.9891],
        [-2.7644],
        [-2.3238],
        [-1.1149],
        [ 0.9546],
        [ 0.8376],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.1530,  1.2677, -0.8410, -1.2023,  0.0850,  0.1202,  0.4473,  0.3596,
        -0.0653,  0.1392,  0.8356, -0.9440,  0.6755,  0.1809,  0.1238,  0.9866,
        -0.0232, -0.1371, -0.5434])), ('layers.2.weight', tensor([[-0.5165, -0.5628,  0.1225,  0.4735, -1.0419, -1.2813, -0.0994, -3.5069,
          0.4903, -1.1936, -0.4603,  0.0551, -0.9837, -0.7959, -0.5847, -0.5219,
          0.5523,  0.4456, -0.1102]])), ('layers.2.bias', tensor([-0.2664]))])",0.34091141291061916,0.33128209997836155
7,7,"OrderedDict([('layers.0.weight', tensor([[-2.7872],
        [-1.0819],
        [ 0.3581],
        [ 1.0992],
        [-2.2859],
        [-2.7088],
        [-1.2226],
        [-3.6717],
        [ 1.3709],
        [-3.7223],
        [-1.6859],
        [-0.5964],
        [-2.0540],
        [-3.0182],
        [-2.5777],
        [-1.2529],
        [ 1.0065],
        [ 0.8891],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.1020,  1.2935, -0.9207, -1.2697,  0.1523,  0.1633,  0.2736,  0.3494,
        -0.1551,  0.2375,  0.8037, -0.9440,  0.6432,  0.1390,  0.1635,  0.8955,
        -0.1117, -0.1225, -0.5434])), ('layers.2.weight', tensor([[-0.6123, -0.6094,  0.1362,  0.3581, -1.2317, -1.5687, -0.1124, -3.6274,
          0.5437, -1.5030, -0.3980,  0.0551, -0.8319, -0.8693, -0.6681, -0.5068,
          0.5745,  0.4458, -0.1102]])), ('layers.2.bias', tensor([-0.2759]))])",0.34091717774560915,0.33121471533624
8,8,"OrderedDict([('layers.0.weight', tensor([[-3.0125],
        [-1.3017],
        [ 0.3388],
        [ 1.3058],
        [-2.6896],
        [-3.2479],
        [-1.3790],
        [-3.7735],
        [ 1.3783],
        [-4.4949],
        [-1.7708],
        [-0.5964],
        [-2.1275],
        [-3.2375],
        [-2.9716],
        [-1.2665],
        [ 1.0187],
        [ 0.8581],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.1917,  1.1792, -0.9321, -1.0920,  0.0774,  0.0875,  0.2534,  0.3942,
        -0.2111,  0.2836,  0.7924, -0.9440,  0.6415,  0.1917,  0.0908,  0.8858,
        -0.1622, -0.2076, -0.5434])), ('layers.2.weight', tensor([[-0.7373, -0.5948,  0.0545,  0.4063, -1.4371, -1.9045, -0.1703, -3.5782,
          0.5574, -1.9232, -0.4247,  0.0551, -0.8381, -0.9670, -0.7624, -0.4274,
          0.5524,  0.4017, -0.1102]])), ('layers.2.bias', tensor([-0.3192]))])",0.3409116772813258,0.33119865959756284
9,9,"OrderedDict([('layers.0.weight', tensor([[-3.3285],
        [-1.3194],
        [ 0.3136],
        [ 1.2192],
        [-3.0519],
        [-3.7282],
        [-1.5660],
        [-3.8166],
        [ 1.4756],
        [-5.2453],
        [-1.9522],
        [-0.5964],
        [-2.0837],
        [-3.5179],
        [-3.3170],
        [-1.4981],
        [ 1.1036],
        [ 0.8744],
        [-0.1006]])), ('layers.0.bias', tensor([ 0.0968,  1.1999, -0.9440, -1.2294,  0.1449,  0.1603,  0.1062,  0.4429,
        -0.2433,  0.2650,  0.6577, -0.9440,  0.7064,  0.0990,  0.1569,  0.7714,
        -0.2108, -0.3481, -0.5434])), ('layers.2.weight', tensor([[-0.8444, -0.6040,  0.0457,  0.2184, -1.7080, -2.3249, -0.1105, -3.3323,
          0.6349, -2.2200, -0.3154,  0.0551, -0.6221, -1.0568, -0.8811, -0.4783,
          0.5759,  0.3659, -0.1102]])), ('layers.2.bias', tensor([-0.3134]))])",0.3409431319029156,0.3312119846951333
