,Epochs,Params,Train loss,Test loss
0,0,"tensor([0.4909, 0.2697, 0.4844])",0.9639282884697119,1.0596150271594524
1,1,"tensor([0.5703, 0.3259, 0.5790])",0.8300958076004463,0.948333757619063
2,2,"tensor([0.6462, 0.3753, 0.6686])",0.7120615284579496,0.8541815797487895
3,3,"tensor([0.7157, 0.4151, 0.7487])",0.6163258479132007,0.7832081529001395
4,4,"tensor([0.7764, 0.4431, 0.8160])",0.5479063121587388,0.7347440580682209
5,5,"tensor([0.8272, 0.4595, 0.8697])",0.5039644911458405,0.703752825781703
6,6,"tensor([0.8689, 0.4655, 0.9108])",0.47759343883953986,0.6845391392474994
7,7,"tensor([0.9026, 0.4635, 0.9416])",0.4620653899929797,0.672670568616013
8,8,"tensor([0.9300, 0.4556, 0.9646])",0.45263826148584485,0.6652376029329995
9,9,"tensor([0.9524, 0.4438, 0.9818])",0.4465034752637924,0.6604713183090402
10,10,"tensor([0.9709, 0.4294, 0.9951])",0.4421514635323547,0.6573203598770002
11,11,"tensor([0.9864, 0.4134, 1.0057])",0.4388084368625035,0.65515408233429
12,12,"tensor([0.9995, 0.3967, 1.0144])",0.4360818277850437,0.6535845159863433
13,13,"tensor([1.0105, 0.3796, 1.0218])",0.43376765392604283,0.6523646494373679
14,14,"tensor([1.0197, 0.3626, 1.0285])",0.4317532428986548,0.6513318390275041
15,15,"tensor([1.0274, 0.3457, 1.0347])",0.429970390140079,0.650374861744543
16,16,"tensor([1.0337, 0.3292, 1.0407])",0.42837274346578247,0.6494152579029712
17,17,"tensor([1.0387, 0.3131, 1.0464])",0.4269252996164141,0.6483955363665397
18,18,"tensor([1.0426, 0.2975, 1.0522])",0.4255991673172806,0.6472721644167905
19,19,"tensor([1.0453, 0.2823, 1.0580])",0.42436932837449604,0.6460111454391153
20,20,"tensor([1.0469, 0.2674, 1.0638])",0.4232131905720356,0.6445849840083004
21,21,"tensor([1.0474, 0.2530, 1.0698])",0.42210992690136967,0.6429708581262579
22,22,"tensor([1.0470, 0.2390, 1.0760])",0.42104024015782976,0.6411490097331504
23,23,"tensor([1.0455, 0.2252, 1.0824])",0.41998568940622744,0.6391019462918242
24,24,"tensor([1.0430, 0.2118, 1.0890])",0.4189289466895692,0.6368140326036761
25,25,"tensor([1.0396, 0.1985, 1.0959])",0.41785306321292714,0.6342710254713892
26,26,"tensor([1.0351, 0.1854, 1.1031])",0.4167418450472193,0.6314598175386588
27,27,"tensor([1.0297, 0.1725, 1.1105])",0.4155796481785425,0.62836883533746
28,28,"tensor([1.0233, 0.1597, 1.1183])",0.4143512347595485,0.6249874951938789
29,29,"tensor([1.0160, 0.1469, 1.1264])",0.4130419175096904,0.6213070556521416
30,30,"tensor([1.0076, 0.1341, 1.1348])",0.41163801911655656,0.6173209698249896
31,31,"tensor([0.9984, 0.1213, 1.1436])",0.41012669104917826,0.6130249979595344
32,32,"tensor([0.9881, 0.1085, 1.1528])",0.40849674044390366,0.6084179802487294
33,33,"tensor([0.9770, 0.0956, 1.1623])",0.4067388477444183,0.6035027120262384
34,34,"tensor([0.9649, 0.0827, 1.1722])",0.40484663075379407,0.5982867478082577
35,35,"tensor([0.9520, 0.0697, 1.1825])",0.40281695620312047,0.5927830439060926
36,36,"tensor([0.9382, 0.0567, 1.1931])",0.40065109528950416,0.5870102252811193
37,37,"tensor([0.9237, 0.0437, 1.2039])",0.39835540989649115,0.5809939604873459
38,38,"tensor([0.9085, 0.0307, 1.2151])",0.39594190710631666,0.5747664986178279
39,39,"tensor([0.8927, 0.0178, 1.2264])",0.39342884175712245,0.5683668179127077
40,40,"tensor([0.8764, 0.0050, 1.2379])",0.39084043928887696,0.5618401373115679
41,41,"tensor([ 0.8597, -0.0075,  1.2494])",0.38820673620793966,0.5552367789981266
42,42,"tensor([ 0.8428, -0.0198,  1.2609])",0.38556198170408607,0.5486108639898399
43,43,"tensor([ 0.8257, -0.0316,  1.2724])",0.38294358920926846,0.5420178094257911
44,44,"tensor([ 0.8087, -0.0430,  1.2836])",0.3803894360860189,0.5355135524257396
45,45,"tensor([ 0.7919, -0.0538,  1.2947])",0.3779360986314714,0.5291505560123672
46,46,"tensor([ 0.7754, -0.0640,  1.3053])",0.3756161459411184,0.522977273837508
47,47,"tensor([ 0.7593, -0.0735,  1.3156])",0.37345627962301176,0.517035442309619
48,48,"tensor([ 0.7438, -0.0823,  1.3253])",0.3714763273407395,0.5113596030309585
49,49,"tensor([ 0.7289, -0.0903,  1.3346])",0.3696879828426366,0.50597600563536
50,50,"tensor([ 0.7147, -0.0976,  1.3433])",0.36809544280865036,0.5009025061347833
51,51,"tensor([ 0.7012, -0.1040,  1.3514])",0.36669591342651986,0.4961493443445458
52,52,"tensor([ 0.6886, -0.1097,  1.3589])",0.3654808625229634,0.49171953810728153
53,53,"tensor([ 0.6768, -0.1147,  1.3658])",0.36443750334437935,0.48760996248095884
54,54,"tensor([ 0.6658, -0.1190,  1.3721])",0.3635501721718659,0.48381277095686526
55,55,"tensor([ 0.6555, -0.1227,  1.3778])",0.362801831557105,0.4803162975236773
56,56,"tensor([ 0.6461, -0.1258,  1.3830])",0.36217523605252305,0.47710617032328934
57,57,"tensor([ 0.6374, -0.1284,  1.3877])",0.3616536351231237,0.47416621168376877
58,58,"tensor([ 0.6294, -0.1305,  1.3919])",0.36122141260032853,0.47147904118367784
